twitch_id,twitch_username,discord_id,discord_username,ntsc_pb,ntsc_pb_updated_at,pal_pb,pal_pb_updated_at,country_code,country
46642211,asongscout,,,699183,2019-11-18T01:05:29.695247+00:00,,,,
29446784,offwo200,,,603000,2019-10-25T03:19:57.006923+00:00,,,,
408785977,berenyi_kft,,,1255171,2019-10-17T01:57:13.404108+00:00,687000,2019-10-03T22:54:04.032090+00:00,GBR,United Kingdom of Great Britain
35295944,mohammadbadir,,,1135429,,,,,
87298362,the1stnoel,,,375820,2020-01-20T03:23:46.152943+00:00,,,,
73613830,niner80,,,999999,2019-12-16T04:24:15.646870+00:00,,,,
268753206,neotrisss,,,854480,2019-10-03T21:45:43.522699+00:00,,,,
162569203,dmhero,,,724893,,,,,
50351540,kyleprecise,,,624764,2019-10-28T20:00:52.749632+00:00,,,,
187574781,louieskouie,,,999999,,,,,
62831432,megaretroman,,,999999,,,,,
144250361,l0wen,,,213000,,,,,
129663921,divinelyinspiredname,,,710220,2019-10-19T19:57:30.051775+00:00,,,,
131429075,johntriii,,,661200,,,,,
66221286,applebananaking,,,1,,,,,
191935868,poo_diepio,,,930387,2020-01-30T19:42:50.303101+00:00,,,,
83241771,scuttlemesenpai,,,12,,,,,
187723105,sailorsaiko,,,1,,,,,
161378186,tbalaage14,,,1013480,,,,,
85780494,chipsauce,,,508000,,,,,
142871975,convergeai,,,502035,2020-02-01T17:44:52.645437+00:00,,,,
232440079,r00tifant,,,224065,,,,,
96057311,superman_km,,,1,,,,,
28424272,dnalei,,,1,,,,,
231765965,chubblesrl,,,353080,,,,,
66765843,pmya,,,1337441,2020-01-05T18:35:02.288289+00:00,687000,2019-11-23T07:02:38.971868+00:00,GBR,United Kingdom of Great Britain
37127586,f_symbols,,,915840,,,,,
133097389,in10city_,,,559821,2019-11-23T22:06:14.424514+00:00,,,,
39304564,nightcritter,,,1,,,,,
24214456,spiderwaffle,,,575001,2020-01-20T00:14:25.576214+00:00,,,,
111293785,00111101,,,1,,,,,
55007999,steven598,,,834076,,,,,
241663833,tetris_roo,,,953800,,,,,
178581844,raul_1138,,,841175,,,,,
27410052,northing1,,,538000,2020-01-23T11:22:06.177740+00:00,,,NLD,Netherlands
110806938,sundeco,,,1022660,2020-01-19T20:36:17.479889+00:00,,,,
401776719,benblacks,,,621820,,,,,
99010673,earlsilastupper,,,446443,2019-10-12T00:15:41.731564+00:00,1,2019-10-12T00:18:10.290856+00:00,DEU,Germany
262414727,gabrielrezende25,,,520000,,,,,
56664221,darthdreadz,,,804961,,,,,
180427701,amj_productions,,,860421,2020-01-05T00:59:35.679881+00:00,,,,
58602189,unclekev_,,,777776,2019-10-16T01:49:43.873497+00:00,,,,
150817498,ianswertonoone,,,550000,,,,,
162677754,qlf9_plays,,,303400,,,,,
29730512,mobuco,,,420069,,,,,
123257192,itzsharky1,,,1044611,2019-11-13T03:18:27.019556+00:00,,,,
50691428,felixnxt,,,550000,,,,,
134965786,restingzzz,,,843220,2020-01-21T09:15:42.768177+00:00,,,,
90836480,bloonawsome,,,375586,,,,,
405141999,potato_l1cker,,,67450,,,,,
420431463,tetris4fabrice,,,69,,,,,
409339430,bigjoe__,,,599000,,,,,
401033194,goel25,,,589545,,,,,
106869674,chodelerone,,,700000,,,,,
133501435,advenchagamer,,,523822,,,,,
231506831,tetriscrab,,,1201283,,,,,
131454884,classictetris,,,616160,2019-11-02T22:19:08.946202+00:00,616160,2019-10-05T23:05:43.351254+00:00,,
112051612,ryoko82,,,190017,,,,,
85449079,mr_clydethecat,,,570000,,,,,
213719813,burketkenny,,,692132,,,,,
277414456,pj290,,,504200,,,,,
195020552,acorndogulous,,,754160,2019-10-05T23:29:50.415456+00:00,,,,
14908391,beastinshen,,,1036780,2019-10-07T22:41:58.766839+00:00,,,,
96990265,xsuperflarestarx,,,609989,,,,,
186554126,betastrep,,,899060,,,,,
251939581,ugly_dave,,,465480,,,,,
411981432,spacetimematters,,,67000,,,,,
209996849,datboi130,,,999999,,,,,
36125642,benmullen297,,,1089640,,,,,
425815589,xerowolf42,,,490723,,,,,
115410177,artismscrub,,,738340,2019-10-20T22:53:45.166128+00:00,,,,
36876606,leb111,,,111,,,,,
150818509,mecex17,,,1069550,,,,,
58093777,cynis001,,,351420,,,,,
116596736,oeufmeansegg,,,1056679,,,,,
10468875,dobuwitz,,,303480,,,,,
65400898,spoopydoops,,,713113,2019-12-22T22:39:50.864427+00:00,,,,
90658759,evybabee,,,604377,,,,,
186139475,bubblerhapsody,,,1195679,,666779,2019-10-03T22:55:59.023547+00:00,,
36471630,tillbaks,,,637653,2020-01-05T23:26:18.735674+00:00,522560,2020-01-05T23:26:53.316345+00:00,,
90022213,coldfire41,,,693792,,,,,
436047996,obelexobendre,,,495260,2019-09-15T22:19:36.482911+00:00,,,,
85936740,mixunio66,,,422900,2019-10-12T00:16:46.680746+00:00,313980,2019-10-12T00:19:15.962008+00:00,POL,Poland
57412684,scottobozo,,,629960,,,,,
151330806,ggnyikus,,,87000,,,,,
152447022,roy_compera,,,1505,,,,,
143650917,paradoink,,,48869,,,,,
109697993,mr_apple_juice_91,,,64020,,,,,
82908487,somedude1316,,,398280,,,,,
232529203,dippyslays,,,5,,,,,
237635975,1975tylerp,,,999999,,,,,
433998786,danielsong39,,,1,2020-01-13T00:21:53.337867+00:00,,,,
250542461,rainbowwphoenixx,,,489980,,,,,
55264061,h2ohappydude,,,403200,2020-01-25T17:53:47.004540+00:00,,,,
60814716,lazer0monkey,,,579491,,,,,
187386766,heitor2004,,,999403,,,,,
14156048,theguardianpm,,,572140,,,,,
49650994,paf0ne,,,324952,,,,,
113570364,bobski021,,,326787,,,,,
121660803,brianwilliams42,,,574180,2019-12-09T01:03:39.363737+00:00,,,,
189318676,clubsodawithlime,,,789060,,,,,
176936496,lg3rm,,,938420,2020-01-05T00:02:04.889329+00:00,,,,
265553936,skiplogic,,,679691,2020-01-14T00:53:17.732099+00:00,,,,
37072361,kidbillly,,,652000,,,,,
132566545,rensuchan,,,442140,,,,,
161436262,scamper9,,,679160,2020-01-14T00:52:50.251097+00:00,586840,2019-11-17T20:06:02.213052+00:00,,
431037650,ditshadows,,,765000,2019-11-25T01:39:51.796125+00:00,,,,
56339941,wike,,,329326,2019-11-03T18:15:24.244257+00:00,,,,
26131411,fbi_stevo,,,616194,,,,,
271367094,wannabetetrispro,,,580000,,,,,
275028067,zach_blizzard,,,449440,,,,,
113440570,averso_,,,524700,,,,,
72880446,beadle111,,,376985,2019-10-06T00:19:08.261361+00:00,,,,
93203282,mastergabe1295,,,400000,,,,,
142381868,stukontruk,,,380916,2019-10-20T00:46:36.448741+00:00,,,USA,United States of America
86925178,drjules13,,,597980,2020-01-19T22:59:04.182092+00:00,,,,
256755292,chrissyfordtwitch,,,1067205,2019-11-06T01:32:01.025527+00:00,,,,
70412570,cypressshepard,,,374543,2019-11-20T23:49:45.377492+00:00,,,,
44466948,whompronnie,175687301811142657,,515280,2019-10-22T21:04:49.943807+00:00,,,USA,United States of America
64033726,kirby703,214221392340713472,Kirby703,832560,2019-10-06T04:17:34.707268+00:00,,,USA,United States of America
149068958,galoomba_,253227815338508289,galoomba,1214840,2019-10-22T18:56:08.077478+00:00,635540,2019-10-22T18:55:55.500533+00:00,SVN,Slovenia
89587544,professor_l,125766550035759104,Professor L,1060680,2020-01-04T17:31:16.092782+00:00,,,USA,United States of America
113546852,dexfore,237426489505742848,Dumbo52,877200,2019-12-16T23:23:52.258358+00:00,,,USA,United States of America
66344620,jakegames2,178714383302656002,J²,1356605,2020-02-03T03:48:40.951364+00:00,746840,2020-01-15T21:11:40.333060+00:00,CAN,Canada
147862423,vandweller,411395555462348800,vandweller,616160,2020-01-25T20:25:20.072392+00:00,396640,2020-01-12T16:17:35.616646+00:00,USA,United States of America
96204081,kofiow,247549874592153602,Kofi,1113880,2019-12-26T16:16:56.161900+00:00,,,MDV,Maldives
61079997,oktopuse,236640907494031362,oktopuse,875040,2019-12-27T23:55:09.637178+00:00,482520,2019-09-15T18:59:20.316884+00:00,USA,United States of America
236977555,tegamech,95204045379080192,MegaTech,1058081,2019-12-02T11:17:46.860380+00:00,696780,2020-01-02T06:49:20.808953+00:00,SWE,Sweden
134547965,tristop,240196824902664192,Tristop,1100060,2020-01-24T22:28:51.387841+00:00,0,2019-10-03T14:47:33.188613+00:00,USA,United States of America
58330529,moodeuce,167612761734381568,moodeuce,981780,2020-01-12T00:28:41.441978+00:00,645694,2020-01-06T08:38:46.777099+00:00,AUS,Australia
135425584,hydrantdude8,270605669688803329,HydrantDude,1201320,2020-01-26T00:10:14.281891+00:00,530539,2020-01-18T07:38:00.912948+00:00,USA,United States of America
46243996,rexion_,440626721641857024,Rexion,699180,2020-02-02T01:17:30.274535+00:00,,,AUS,Australia
141684772,de__martian,220344188271591424,De Martian,801464,2019-09-07T22:47:54.426759+00:00,451280,2019-09-16T17:29:27.311756+00:00,USA,United States of America
,,318164659251445761,OeufMeansEgg,1056679,2019-09-08T02:26:40.775214+00:00,,,USA,United States of America
67465287,danqztwitch,133236206375927808,QZ,830000,2020-01-16T01:15:00.699689+00:00,0,2020-01-06T23:29:09.679164+00:00,USA,United States of America
49519823,treylorswift,,,999999,2019-09-08T02:51:36.333463+00:00,,,,
36728203,grzechooo,168722887698677761,gggggg,489280,2019-09-08T02:51:37.986841+00:00,422860,2019-09-09T02:55:26.893101+00:00,VAT,Holy See
,,91014507471589376,rensuchan,442140,2019-09-08T02:52:46.496586+00:00,,,USA,United States of America
434395363,silverrr_g,392856174036516864,Silver G,955924,2019-12-18T04:37:14.272125+00:00,,,CAN,Canada
171537088,kingsman36,548672719248424961,Kingsman,534042,2019-11-24T17:35:28.968879+00:00,,,USA,United States of America
415530948,mistec43,546485843423002624,mistec43,453440,,0,2019-10-06T17:58:25.840181+00:00,USA,United States of America
405653211,cheez_fish,529525071392407570,CheeZ_Fish,999999,2020-01-02T07:21:53.520598+00:00,689185,2019-12-06T03:12:22.773234+00:00,USA,United States of America
127165710,b14nk17,188863367195262976,B14NK,1071940,2020-01-05T00:20:00.053330+00:00,,,USA,United States of America
39676411,roncli,84481289050152960,roncli,536132,2019-09-08T05:54:49.026587+00:00,,,USA,United States of America
173771641,terhoa,433723442106466304,-JJ,826640,2019-12-29T19:29:02.927083+00:00,652700,2019-10-03T14:43:37.416899+00:00,FIN,Finland
268938592,z_wing_,519797906811912192,Z Wing,790440,2020-01-18T16:53:57.182541+00:00,,,USA,United States of America
88307328,muunas,210606374466355202,Muunas,963750,,529217,2020-01-04T09:21:27.341240+00:00,USA,United States of America
,,270371617413136384,,1290000,2019-12-26T21:44:37.174582+00:00,664400,2019-09-09T08:19:36.769035+00:00,,
67744419,adudeabides,361998863751446555,the dude,913670,2020-01-04T03:30:38.472417+00:00,,,USA,United States of America
84294814,japorto,218969840495362049,japorto,890826,2019-12-21T13:22:10.623002+00:00,,,BRA,Brazil
,,252310760615706625,Somalian,625160,2019-11-04T19:33:30.342187+00:00,,,,
24107276,xeal337,195893042153127937,XaeL,1049692,2019-11-02T01:00:22.078697+00:00,614149,2019-11-01T21:24:26.149386+00:00,FSM,Micronesia (Federated States of)
,,617032292094705834,fractal161,1007820,2019-11-15T03:07:31.055371+00:00,,,,
159167736,chrisforyst,194555362668445696,Chris Foryst,429193,2019-11-13T18:44:35.893190+00:00,417458,2020-02-01T08:52:02.561210+00:00,POL,Poland
230412362,holifyre,592099842734555174,Holifyre,934854,2019-11-20T20:37:37.273652+00:00,510265,2020-01-17T23:42:37.222414+00:00,KOR,Korea
,,181024503453712384,Egg,603261,2019-12-08T10:00:02.417898+00:00,,,POL,Poland
,,190437287408959488,Paul 楊,999999,2019-12-22T17:49:58.151958+00:00,,,SGP,Singapore
37679175,somalian_captain,,,716040,2020-01-24T03:41:07.436001+00:00,,,,
251118986,lyricxavier124,,,80085,2019-09-12T08:34:39.496988+00:00,,,,
407130832,mattholland,552326386233376796,mattholland,566600,2019-11-17T09:06:10.624462+00:00,,,USA,United States of America
104062621,jazzthief81,343493600794902528,jazzthief81,860700,2019-09-13T09:01:24.067125+00:00,492640,2019-09-22T09:08:59.540196+00:00,BEL,Belgium
47170429,topplingtopple,,,382582,2019-09-15T04:20:47.524052+00:00,,,,
30941898,deeemmsee,90865163086880768,DeeEmmSee,580550,2020-01-31T22:58:54.450303+00:00,,,GBR,United Kingdom of Great Britain
,,310175524775264256,Your_Emperor,919849,2019-09-15T18:30:49.422160+00:00,,,,
422030459,eggdizzy,,,513675,2019-09-15T18:55:18.179900+00:00,,,,
224105642,rev_up,,,999999,2019-10-19T17:32:28.633296+00:00,,,,
425999610,jokthreee,,,65589,2019-09-15T20:33:31.245843+00:00,,,,
157036217,lana64,315331749473288196,Lana64,683800,2019-10-21T09:23:21.234662+00:00,517822,2019-10-21T08:46:04.803297+00:00,AUS,Australia
123334587,drachenhannes,,,314770,2019-11-17T22:51:34.338505+00:00,,,,
100059692,azn_anthony,,,812714,2019-11-11T09:05:55.602036+00:00,,,,
65646718,pollsmor,,,651300,2019-09-17T01:51:52.295578+00:00,,,,
108190986,pirbip,172634804817362944,PirBip,,,378780,2019-09-22T16:39:28.649476+00:00,FRA,France
20929999,archina,66265756840501248,Archina,491356,2019-09-17T12:57:22.714813+00:00,573880,2019-09-17T12:55:32.168756+00:00,GBR,United Kingdom of Great Britain
154935035,eristhevorta,246751772482207752,,955800,2019-12-31T10:34:31.102082+00:00,644820,2019-11-08T16:02:55.556478+00:00,CHE,Switzerland
29311109,hezzuli,116903260819816451,Hezzuli,947434,2019-12-29T04:10:30.112725+00:00,676960,2019-09-17T13:03:43.450150+00:00,FIN,Finland
,,362621024266747924,Marq,999999,2019-09-17T14:22:41.276029+00:00,645040,2019-09-17T14:22:24.271205+00:00,DEU,Germany
62444785,casuallypwning,394611438179713026,CasuallyPwning,867308,2020-01-27T16:39:21.874459+00:00,584761,2019-10-18T13:34:09.329159+00:00,GBR,United Kingdom of Great Britain
140806530,sinewaveslicer,82985293107429376,sinewave,847535,2019-12-31T21:35:09.983736+00:00,529040,2019-09-17T15:37:28.978601+00:00,DEU,Germany
80411717,theyamny,203892769108787200,yamny,526171,2019-11-15T05:57:13.123513+00:00,549931,2019-09-17T17:35:06.213656+00:00,POL,Poland
106785965,t_flat,164132401658724352,T-Flat the Koopa,507140,2019-10-22T04:43:55.899495+00:00,,,USA,United States of America
,,497007359827116055,exewin,656052,2019-12-01T00:17:27.267716+00:00,491291,2019-09-20T22:38:31.138351+00:00,,
85324879,akarres,272939211051761675,AKR,757680,2019-09-19T05:23:01.321865+00:00,,,USA,United States of America
,,359759855428304906,Świdr,219533,2019-10-19T13:05:03.031805+00:00,499955,2020-01-08T21:59:19.872689+00:00,POL,Poland
144630905,kibi_byte,199676733971103745,Kibi Byte,458502,2020-01-23T07:36:42.206340+00:00,,,USA,United States of America
192928629,brodindamp,316745320853929984,brodindamp,1161911,2020-01-25T23:09:41.613341+00:00,714363,2020-01-20T21:40:05.929680+00:00,USA,United States of America
262639344,ericicx,577211052513558691,EricICX,1078740,2020-01-23T23:34:53.829945+00:00,0,2019-12-26T21:52:07.960786+00:00,USA,United States of America
,,269681888380190730,skiplogic,679691,2020-02-03T22:38:17.232789+00:00,,,,
,,292064902598754304,ITZsharky,1044611,2019-12-06T03:09:49.388692+00:00,,,,
,,299075695198470145,Resting ZZZ,843220,2020-01-21T09:13:31.951996+00:00,,,USA,United States of America
,,209332912816914432,idude,590211,2019-10-16T10:31:25.114884+00:00,499610,2019-09-26T13:05:51.393734+00:00,AUT,Austria
,,129804419771400192,Solareon,690020,2020-01-07T23:38:40.939549+00:00,,,CAN,Canada
164469393,themistervalor,,,999999,2019-12-20T07:23:01.571469+00:00,,,,
,,508401430034382864,RoelV,0,2019-12-03T20:01:06.127976+00:00,597040,2020-01-05T18:07:16.732230+00:00,BEL,Belgium
100879122,pokemonfan1937,459186323140378624,pokemonfan1937,288295,2019-10-04T14:33:49.961993+00:00,277086,2019-10-05T14:17:51.732739+00:00,TWN,Taiwan
218890772,its_dlo,509567820120719380,DLo,1026240,2019-10-08T21:50:12.431796+00:00,,,USA,United States of America
191063622,kelly____,413931483674181632,gummithecat,551600,2019-09-30T18:10:09.020158+00:00,,,USA,United States of America
444783633,strokemaster,,,50,2019-10-01T00:42:02.378918+00:00,,,,
,,251448144926081025,wuchta,199622,2019-10-08T08:09:28.834350+00:00,170750,2019-10-17T17:57:19.343282+00:00,,
166139152,engjohann,553703753262432314,EngJohann,760980,2020-01-26T06:52:53.458513+00:00,,,BRA,Brazil
,,296430531309207553,Rev,999999,2019-10-16T17:11:40.409797+00:00,,,USA,United States of America
407346013,maedhros1978,506067371388043284,maedhros1978,420480,2019-11-28T10:42:24.323750+00:00,290020,2020-01-22T11:41:22.550500+00:00,ITA,Italy
118902082,maiteireida,261206955027202059,Nobody in Particular,382000,2019-10-03T19:16:07.807940+00:00,432700,2019-12-19T17:29:19.402059+00:00,,
158858243,nerdzzzzz,503162247992836106,NerDzzzzz,1097235,2019-12-28T18:54:39.201384+00:00,,,HKG,Hong Kong
29170888,nickyownsyou,,,415650,2019-10-05T23:41:18.334304+00:00,,,,
41171614,depcow,,,568000,2019-10-06T00:19:30.517650+00:00,,,,
73763963,andre01001110,253263563672518656,Andre,597640,2019-10-06T04:45:51.872572+00:00,493100,2019-10-06T04:46:45.511281+00:00,GBR,United Kingdom of Great Britain
10772020,emptyeye,99919163828477952,Emptyeye,464247,2020-01-30T00:20:02.676963+00:00,,,USA,United States of America
,,207422836858421248,marv,411800,2019-10-06T13:23:15.926298+00:00,306760,2019-10-06T13:24:59.773019+00:00,DEU,Germany
,,244360467378733058,Scottobozo,1009000,2019-12-31T23:48:43.372543+00:00,,,USA,United States of America
,,124922098488573955,Cynis001,522620,2019-11-25T09:40:56.278394+00:00,471391,2019-10-07T12:00:54.731459+00:00,DEU,Germany
,,163012838284197889,The1stNoel,890140,2019-10-07T15:04:44.136359+00:00,540120,2019-10-07T15:05:35.066989+00:00,USA,United States of America
185224581,dogplayingtetris,608161056929480714,dog,1106700,2020-01-29T00:30:24.567676+00:00,572840,2020-02-03T19:42:17.132060+00:00,USA,United States of America
185334948,videogamebrosyt,329431559969177602,PixelAndy,1014660,2020-01-16T03:35:23.109359+00:00,,,USA,United States of America
41514691,limen123,,,650000,2019-10-09T02:34:36.039136+00:00,,,,
123966487,franticthumb,435566713623543829,franticthumb,517200,2020-01-08T18:52:06.009351+00:00,576900,2019-10-23T22:49:38.154549+00:00,GBR,United Kingdom of Great Britain
,,398922664900558858,theschoolmaster,1055507,2019-10-10T21:31:43.413852+00:00,,,,
141658168,sakura5555ppt,338059897730105345,annie,275395,2020-01-16T01:21:21.252867+00:00,,,USA,United States of America
193711777,maoshizhong,120227869157883904,MaoShizhong,592010,2019-12-12T10:30:44.065197+00:00,598240,2019-12-27T11:57:33.458401+00:00,GBR,United Kingdom of Great Britain
144991267,nihilisticaxolotl,,,630000,2019-10-12T00:15:47.221124+00:00,,,,
39317260,primatis,,,1,2019-10-12T01:03:17.626015+00:00,,,,
,,542178572681609220,Farhan_Algustian,669993,2019-10-12T12:29:35.361993+00:00,,,,
,,530523079865008168,,341707,2019-10-25T03:06:29.327913+00:00,,,,
459625600,samantha_jam02,434318035826769931,Samantha🎗,332720,2020-01-18T15:18:07.657127+00:00,133760,2019-11-16T16:08:21.286196+00:00,GBR,United Kingdom of Great Britain
,,409979200641040384,,651257,2019-11-30T13:33:57.544231+00:00,,,AUS,Australia
,,285681496772182016,Oscar._,548555,2019-12-07T12:52:36.163470+00:00,,,AUS,Australia
,,161292324347838464,dansushi,665040,2019-10-18T13:38:27.849186+00:00,,,,
112803379,alwin___,476455324329574401,Alwin,778460,2019-12-07T14:07:40.620078+00:00,,,CHE,Switzerland
177259517,roccoricci,417401009481187358,roccoricci,520760,2020-01-08T22:21:34.756856+00:00,620733,2020-01-30T18:51:17.696227+00:00,NLD,Netherlands
104059788,kappapridelover,,,304530,2019-11-28T20:58:06.765060+00:00,,,,
126598233,carolina_dutra,,,1298840,2019-10-19T20:51:58.702106+00:00,,,,
426363626,tst_man,,,1400000,2019-10-19T23:24:51.417463+00:00,1400000,2019-10-20T00:45:46.226107+00:00,RUS,Russian Federation
213127433,erkmergerk,,,556899,2019-10-19T20:51:26.524683+00:00,,,,
60729525,sebs_123,,,69907,2019-10-20T01:43:12.050110+00:00,0,2019-10-19T23:44:13.501051+00:00,CAN,Canada
187972320,gdmatthewry,,,921843,2019-10-19T20:50:04.726289+00:00,,,,
1910328,urto,,,315538,2019-10-19T20:50:09.546987+00:00,,,,
121485719,doubleviciousquip,,,545840,2019-10-19T20:50:12.021722+00:00,,,,
132417177,solmistice,,,352242,2019-10-20T20:38:27.123036+00:00,,,,
159578086,kyomahm,,,250000,2019-10-19T20:50:33.533253+00:00,,,,
400925318,lordhorst13,,,1,2019-10-19T20:50:52.659072+00:00,13,2019-10-19T21:37:43.483212+00:00,,
112691058,ffrpro21,,,552120,2019-10-19T20:51:02.424927+00:00,,,,
99617340,migmasterx,,,604428,2019-10-19T20:51:10.350664+00:00,,,,
142661669,oofed73,,,1005200,2019-10-25T20:51:42.664147+00:00,,,,
172339753,iwantdrugsnothugs,,,1,2019-10-19T20:59:34.080200+00:00,,,,
162019631,themuffinboi,,,639780,2019-10-20T18:03:29.626912+00:00,,,,
50807592,hackspider,,,1,2019-10-19T21:00:06.805853+00:00,,,,
101264772,starwise,118384804520525825,Misa / Starwise,490414,2019-10-20T18:22:17.257643+00:00,511051,2019-10-19T21:17:12.109169+00:00,FIN,Finland
89026743,elcaesogrande,,,582000,2019-10-19T21:35:30.364986+00:00,224,2019-10-19T21:38:19.253479+00:00,,
405380658,davidmichaelj,,,757640,2020-01-19T22:41:36.844578+00:00,,,,
36848090,mauled_by_the_tigers_trv,,,371620,2019-10-19T21:33:11.424505+00:00,,,GBR,United Kingdom of Great Britain
197082513,hav0cwraith,,,321000,2019-10-19T21:35:46.626965+00:00,,,,
149015375,airetho,,,612925,2019-11-13T03:17:06.489597+00:00,1399999,2019-11-13T03:19:40.298736+00:00,,
130403738,dekk_cl,,,528500,2019-11-14T06:42:58.599432+00:00,,,,
49089171,cylosix,,,420,2019-10-19T21:37:16.896207+00:00,,,,
417009982,thejkais,,,373260,2019-10-19T21:37:32.987536+00:00,,,,
45356161,fmtownsparty,,,42069,2019-10-19T21:38:01.903754+00:00,,,,
460291004,ticky_the_hex,,,314664,2019-10-19T23:20:28.158837+00:00,,,GBR,United Kingdom of Great Britain
52332240,steakmann,,,650200,2019-10-19T23:23:40.589134+00:00,,,USA,United States of America
104352245,andrewism21,,,581801,2019-10-19T23:24:25.946918+00:00,,,,
25500434,moozooh,,,519109,2019-11-02T22:20:27.935207+00:00,480212,2019-11-02T22:20:56.407723+00:00,,
152030943,dotogoto,,,999998,2019-10-19T23:43:47.244216+00:00,,,,
32567168,mxckgit,,,325103,2019-10-19T23:54:07.657746+00:00,,,,
85383064,doctor_scifi,,,238106,2019-10-20T23:04:39.422883+00:00,,,USA,United States of America
139880513,khunran,,,850000,2019-10-20T00:46:12.115614+00:00,,,KOR,Korea
157821412,lucass3241,,,999999,2019-10-20T00:46:29.892013+00:00,,,,
23461992,kelevra1324,,,80085,2019-10-20T00:47:01.130273+00:00,,,,
158690450,seanyspotpig,,,4,2019-10-20T01:03:44.403602+00:00,,,,
64894551,axel5116,,,158600,2019-11-17T23:47:47.531912+00:00,,,USA,United States of America
